"kind","items__kind","items__family","items__category","items__variants-","items__subsets001","items__subsets002","items__subsets003","items__subsets004","items__subsets005","items__subsets006","items__subsets007","items__subsets008","items__variants001","items__variants002","items__variants003","items__variants004","items__variants005","items__variants006","items__variants007","items__variants008","items__variants009","items__variants010","items__variants011","items__variants012","items__variants013","items__variants014","items__variants015","items__variants016","items__variants017","items__variants018","items__subsets-","items__version","items__lastModified","items__files__100","items__files__100italic","items__files__200","items__files__200italic","items__files__300","items__files__300italic","items__files__regular","items__files__500","items__files__500italic","items__files__600","items__files__600italic","items__files__700","items__files__700italic","items__files__800","items__files__800italic","items__files__900","items__files__900italic","items__files__italic"
"","webfonts#webfont","Almendra Display","display","regular","latin-ext","latin","","","","","","","","","","","","","","","","","","","","","","","","","","v6","2015-04-03","","","","","","","http://fonts.gstatic.com/s/almendradisplay/v6/2Zuu97WJ_ez-87yz5Ai8fF6uyC_qD11hrFQ6EGgTJWI.ttf","","","","","","","","","","",""
"","webfonts#webfont","Almendra SC","serif","regular","","","","","","","","","","","","","","","","","","","","","","","","","","","latin","v6","2015-04-03","","","","","","","http://fonts.gstatic.com/s/almendrasc/v6/IuiLd8Fm9I6raSalxMoWeaCWcynf_cDxXwCLxiixG1c.ttf","","","","","","","","","","",""
"","webfonts#webfont","Amarante","display","regular","latin-ext","latin","","","","","","","","","","","","","","","","","","","","","","","","","","v4","2015-04-06","","","","","","","http://fonts.gstatic.com/s/amarante/v4/2dQHjIBWSpydit5zkJZnOw.ttf","","","","","","","","","","",""
"","webfonts#webfont","Amaranth","sans-serif","","","","","","","","","","regular","italic","700","700italic","","","","","","","","","","","","","","","latin","v6","2015-04-06","","","","","","","http://fonts.gstatic.com/s/amaranth/v6/7VcBog22JBHsHXHdnnycTA.ttf","","","","","http://fonts.gstatic.com/s/amaranth/v6/j5OFHqadfxyLnQRxFeox6qCWcynf_cDxXwCLxiixG1c.ttf","http://fonts.gstatic.com/s/amaranth/v6/BHyuYFj9nqLFNvOvGh0xTwJKKGfqHaYFsRG-T3ceEVo.ttf","","","","","http://fonts.gstatic.com/s/amaranth/v6/UrJlRY9LcVERJSvggsdBqPesZW2xOQ-xsNqO47m55DA.ttf"
"","webfonts#webfont","Amatic SC","handwriting","","","","","","","","","","regular","700","","","","","","","","","","","","","","","","","latin","v6","2015-04-06","","","","","","","http://fonts.gstatic.com/s/amaticsc/v6/MldbRWLFytvqxU1y81xSVg.ttf","","","","","http://fonts.gstatic.com/s/amaticsc/v6/IDnkRTPGcrSVo50UyYNK7y3USBnSvpkopQaUR-2r7iU.ttf","","","","","",""
"","webfonts#webfont","Amethysta","serif","regular","","","","","","","","","","","","","","","","","","","","","","","","","","","latin","v4","2015-04-06","","","","","","","http://fonts.gstatic.com/s/amethysta/v4/1jEo9tOFIJDolAUpBnWbnA.ttf","","","","","","","","","","",""
"","webfonts#webfont","Amiri","serif","","latin","arabic","","","","","","","regular","italic","700","700italic","","","","","","","","","","","","","","","","v7","2015-04-07","","","","","","","http://fonts.gstatic.com/s/amiri/v7/ATARrPmSew75SlpOw2YABQ.ttf","","","","","http://fonts.gstatic.com/s/amiri/v7/WQsR_moz-FNqVwGYgptqiA.ttf","http://fonts.gstatic.com/s/amiri/v7/uF8aNEyD0bxMeTBg9bFDSPesZW2xOQ-xsNqO47m55DA.ttf","","","","","http://fonts.gstatic.com/s/amiri/v7/3t1yTQlLUXBw8htrqlXBrw.ttf"
"","webfonts#webfont","Anaheim","sans-serif","regular","latin-ext","latin","","","","","","","","","","","","","","","","","","","","","","","","","","v4","2015-04-06","","","","","","","http://fonts.gstatic.com/s/anaheim/v4/t-z8aXHMpgI2gjN_rIflKA.ttf","","","","","","","","","","",""
"","webfonts#webfont","Andada","serif","regular","latin-ext","latin","","","","","","","","","","","","","","","","","","","","","","","","","","v7","2015-04-06","","","","","","","http://fonts.gstatic.com/s/andada/v7/rSFaDqNNQBRw3y19MB5Y4w.ttf","","","","","","","","","","",""
"","webfonts#webfont","Andika","sans-serif","regular","latin-ext","cyrillic-ext","latin","cyrillic","","","","","","","","","","","","","","","","","","","","","","","","v6","2015-04-06","","","","","","","http://fonts.gstatic.com/s/andika/v6/oe-ag1G0lcqZ3IXfeEgaGg.ttf","","","","","","","","","","",""
"","webfonts#webfont","Angkor","display","regular","","","","","","","","","","","","","","","","","","","","","","","","","","","khmer","v8","2015-04-06","","","","","","","http://fonts.gstatic.com/s/angkor/v8/DLpLgIS-8F10ecwKqCm95Q.ttf","","","","","","","","","","",""
"","webfonts#webfont","Annie Use Your Telescope","handwriting","regular","","","","","","","","","","","","","","","","","","","","","","","","","","","latin","v6","2015-04-06","","","","","","","http://fonts.gstatic.com/s/annieuseyourtelescope/v6/2cuiO5VmaR09C8SLGEQjGqbp7mtG8sPlcZvOaO8HBak.ttf","","","","","","","","","","",""
"","webfonts#webfont","Anonymous Pro","monospace","","latin-ext","latin","greek","cyrillic","","","","","regular","italic","700","700italic","","","","","","","","","","","","","","","","v8","2015-04-06","","","","","","","http://fonts.gstatic.com/s/anonymouspro/v8/Zhfjj_gat3waL4JSju74E-V_5zh5b-_HiooIRUBwn1A.ttf","","","","","http://fonts.gstatic.com/s/anonymouspro/v8/WDf5lZYgdmmKhO8E1AQud--Cz_5MeePnXDAcLNWyBME.ttf","http://fonts.gstatic.com/s/anonymouspro/v8/_fVr_XGln-cetWSUc-JpfA1LL9bfs7wyIp6F8OC9RxA.ttf","","","","","http://fonts.gstatic.com/s/anonymouspro/v8/q0u6LFHwttnT_69euiDbWKwIsuKDCXG0NQm7BvAgx-c.ttf"
"","webfonts#webfont","Antic","sans-serif","regular","","","","","","","","","","","","","","","","","","","","","","","","","","","latin","v7","2015-04-06","","","","","","","http://fonts.gstatic.com/s/antic/v7/hEa8XCNM7tXGzD0Uk0AipA.ttf","","","","","","","","","","",""
"","webfonts#webfont","Antic Didone","serif","regular","","","","","","","","","","","","","","","","","","","","","","","","","","","latin","v4","2015-04-06","","","","","","","http://fonts.gstatic.com/s/anticdidone/v4/r3nJcTDuOluOL6LGDV1vRy3USBnSvpkopQaUR-2r7iU.ttf","","","","","","","","","","",""
"","webfonts#webfont","Antic Slab","serif","regular","","","","","","","","","","","","","","","","","","","","","","","","","","","latin","v4","2015-04-06","","","","","","","http://fonts.gstatic.com/s/anticslab/v4/PSbJCTKkAS7skPdkd7AKEvesZW2xOQ-xsNqO47m55DA.ttf","","","","","","","","","","",""
"","webfonts#webfont","Anton","sans-serif","regular","latin-ext","latin","","","","","","","","","","","","","","","","","","","","","","","","","","v6","2015-04-06","","","","","","","http://fonts.gstatic.com/s/anton/v6/XIbCenm-W0IRHWYIh7CGUQ.ttf","","","","","","","","","","",""
"","webfonts#webfont","Arapey","serif","","","","","","","","","","regular","italic","","","","","","","","","","","","","","","","","latin","v5","2015-04-06","","","","","","","http://fonts.gstatic.com/s/arapey/v5/dqu823lrSYn8T2gApTdslA.ttf","","","","","","","","","","","http://fonts.gstatic.com/s/arapey/v5/pY-Xi5JNBpaWxy2tZhEm5A.ttf"
"","webfonts#webfont","Arbutus","display","regular","latin-ext","latin","","","","","","","","","","","","","","","","","","","","","","","","","","v5","2015-04-03","","","","","","","http://fonts.gstatic.com/s/arbutus/v5/Go_hurxoUsn5MnqNVQgodQ.ttf","","","","","","","","","","",""
"","webfonts#webfont","Arbutus Slab","serif","regular","latin-ext","latin","","","","","","","","","","","","","","","","","","","","","","","","","","v4","2015-04-06","","","","","","","http://fonts.gstatic.com/s/arbutusslab/v4/6k3Yp6iS9l4jRIpynA8qMy3USBnSvpkopQaUR-2r7iU.ttf","","","","","","","","","","",""
"","webfonts#webfont","Architects Daughter","handwriting","regular","","","","","","","","","","","","","","","","","","","","","","","","","","","latin","v6","2015-04-06","","","","","","","http://fonts.gstatic.com/s/architectsdaughter/v6/RXTgOOQ9AAtaVOHxx0IUBMCy0EhZjHzu-y0e6uLf4Fg.ttf","","","","","","","","","","",""
